File,Confidence,Reasons,Blockers
src\features\ai\MultiAgentStatus.tsx,95%,Duplicate of src\path.ts,
src\features\ai\SpeechTest.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\APITestTab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\BehaviorTab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\ConnectionTab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\CustomProviderModal.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\index.ts,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\LocalAITab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\ModelsTab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\ProvidersTab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\types.ts,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\VoiceInputTab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub\VoiceOutputTab.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterConfig.ts,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterConfigPanel.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterContext.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterControls.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterCore.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterResults.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterService.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterTypes.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\GeminiTesterUI.tsx,95%,Duplicate of src\path.ts,
src\features\ai\gemini-tester\index.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\CodeIntelligenceDashboard.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\CodeIntelligenceImpactMap.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\CodeIntelligenceSettings.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\CodeIntelligenceTimeline.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\CodeNavigation.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\DependencyGraph.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\ImpactHeatmap.tsx,95%,Duplicate of src\path.ts,
src\features\code-intelligence\index.ts,95%,Duplicate of src\path.ts,
src\features\code-intelligence\RefactoringSuggestions.tsx,95%,Duplicate of src\path.ts,
src\features\collaboration\CollaborationIndicator.tsx,95%,Duplicate of src\path.ts,
src\features\collaboration\index.ts,95%,Duplicate of src\path.ts,
src\features\help\HelpSystem.tsx,95%,Duplicate of src\path.ts,
src\features\help\index.ts,95%,Duplicate of src\path.ts,
src\features\keyboard\index.ts,95%,Duplicate of src\path.ts,
src\features\keyboard\keyboardShortcuts.tsx,95%,Duplicate of src\path.ts,
src\features\onboarding\index.ts,95%,Duplicate of src\path.ts,
src\google\generative-ai.tsx,95%,Duplicate of src\path.ts,
src\google\index.ts,95%,Duplicate of src\path.ts,
src\hooks\useButtonFeedback.ts,95%,Duplicate of src\path.ts,
src\hooks\useButtonFeedback.tsx,95%,Duplicate of src\path.ts,
src\hooks\useCodeEditor.tsx,95%,Duplicate of src\path.ts,
src\hooks\useConversation.ts,95%,Duplicate of src\path.ts,
src\hooks\useEditorHandlers.ts,95%,Duplicate of src\path.ts,
src\hooks\useKeyboardShortcuts.ts,95%,Duplicate of src\path.ts,
src\hooks\useMediaQuery.ts,95%,Duplicate of src\path.ts,
src\hooks\useNetworkStatus.tsx,95%,Duplicate of src\path.ts,
src\hooks\usePreview.tsx,95%,Duplicate of src\path.ts,
src\hooks\useSpeechRecognition.tsx,95%,Duplicate of src\path.ts,
src\hooks\useVisibilityAwareInterval.tsx,95%,Duplicate of src\path.ts,
src\hooks\ai\useAIProvider.tsx,95%,Duplicate of src\path.ts,
src\hooks\ai\useLMStudio.tsx,95%,Duplicate of src\path.ts,
src\hooks\ai\useLocalAI.tsx,95%,Duplicate of src\path.ts,
src\hooks\ai\useMultiAgent.tsx,95%,Duplicate of src\path.ts,
src\hooks\code\useCodeIntelligence.tsx,95%,Duplicate of src\path.ts,
src\hooks\code\useSandbox.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\index.ts,95%,Duplicate of src\path.ts,
src\hooks\core\useAgentOrchestrator.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\useAutonomousMode.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\useContextManager.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\useGemini.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\useMcp.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\useModelSelection.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\useSecureStorage.tsx,95%,Duplicate of src\path.ts,
src\hooks\core\useStateTransaction.tsx,95%,Duplicate of src\path.ts,
src\hooks\utils\useCache.tsx,95%,Duplicate of src\path.ts,
src\hooks\utils\useNetworkReliability.tsx,95%,Duplicate of src\path.ts,
src\hooks\utils\useRuntimeGuardrails.tsx,95%,Duplicate of src\path.ts,
src\hooks\utils\useTelemetry.tsx,95%,Duplicate of src\path.ts,
src\hooks\voice\index.ts,95%,Duplicate of src\path.ts,
src\hooks\voice\useSpeechRecognition.tsx,95%,Duplicate of src\path.ts,
src\hooks\voice\useVoiceCommands.tsx,95%,Duplicate of src\path.ts,
src\jest\globals.ts,95%,Duplicate of src\path.ts,
src\jest\index.ts,95%,Duplicate of src\path.ts,
src\llm\agent.tsx,95%,Duplicate of src\path.ts,
src\llm\cache.ts,95%,Duplicate of src\path.ts,
src\llm\config.ts,95%,Duplicate of src\path.ts,
src\llm\context.tsx,95%,Duplicate of src\path.ts,
src\llm\contextAbstraction.tsx,95%,Duplicate of src\path.ts,
src\llm\cost.ts,95%,Duplicate of src\path.ts,
src\llm\index.tsx,95%,Duplicate of src\path.ts,
src\llm\optimizer.ts,95%,Duplicate of src\path.ts,
src\llm\quota.tsx,95%,Duplicate of src\path.ts,
src\llm\telemetry.ts,95%,Duplicate of src\path.ts,
src\llm\types.ts,95%,Duplicate of src\path.ts,
src\llm\providers\index.ts,95%,Duplicate of src\path.ts,
src\mcp\index.ts,95%,Duplicate of src\path.ts,
src\mcp\policy\enforcement.ts,95%,Duplicate of src\path.ts,
src\mcp\runtime\context.ts,95%,Duplicate of src\path.ts,
src\mcp\runtime\executor.tsx,95%,Duplicate of src\path.ts,
src\mcp\runtime\types.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\analysis.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\base64_decode.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\base64_encode.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\calculate.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\code-generation.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\create_file.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\execution.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\format_json.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\forwardingRegistry.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\generate_uuid.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\get_current_time.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\hash_text.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\migratedTools.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\read_file.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\registry.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\text_transform.ts,95%,Duplicate of src\path.ts,
src\mcp\tools\validators.ts,95%,Duplicate of src\path.ts,
src\monaco-editor\index.ts,95%,Duplicate of src\path.ts,
src\monaco-editor\react.tsx,95%,Duplicate of src\path.ts,
src\providers\DevAppProvider.tsx,95%,Duplicate of src\path.ts,
src\providers\index.ts,95%,Duplicate of src\path.ts,
src\providers\MinimalAppProvider.tsx,95%,Duplicate of src\path.ts,
src\runtime\toolRuntime.ts,95%,Duplicate of src\path.ts,
src\services\autonomousController.tsx,95%,Duplicate of src\path.ts,
src\services\codeAnalysisService.tsx,95%,Duplicate of src\path.ts,
src\services\debugService.ts,95%,Duplicate of src\path.ts,
src\services\error-handler-global.ts,95%,Duplicate of src\path.ts,
src\services\errorHandler.tsx,95%,Duplicate of src\path.ts,
src\services\fatalAIError.ts,95%,Duplicate of src\path.ts,
src\services\GeminiClient.tsx,95%,Duplicate of src\path.ts,
src\services\gitService.tsx,95%,Duplicate of src\path.ts,
src\services\hybridDecisionEngine.tsx,95%,Duplicate of src\path.ts,
src\services\index.ts,95%,Duplicate of src\path.ts,
src\services\mcpAgentIntegration.ts,95%,Duplicate of src\path.ts,
src\services\notificationDeduplicator.ts,95%,Duplicate of src\path.ts,
src\services\planningFeedback.tsx,95%,Duplicate of src\path.ts,
src\services\promptProfessionalizer.tsx,95%,Duplicate of src\path.ts,
src\services\runtimeUIVerification.tsx,95%,Duplicate of src\path.ts,
src\services\sandboxIntegration.tsx,95%,Duplicate of src\path.ts,
src\services\sandboxManager.tsx,95%,Duplicate of src\path.ts,
src\services\speechRecognitionService.ts,95%,Duplicate of src\path.ts,
src\services\stateTransaction.tsx,95%,Duplicate of src\path.ts,
src\services\taskDecompositionEngine.tsx,95%,Duplicate of src\path.ts,
src\services\tokenOptimizer.ts,95%,Duplicate of src\path.ts,
src\services\uiActionRegistry.ts,95%,Duplicate of src\path.ts,
src\services\utilityTools.tsx,95%,Duplicate of src\path.ts,
src\services\VoskRendererService.ts,95%,Duplicate of src\path.ts,
src\services\VoskSpeechService.ts,95%,Duplicate of src\path.ts,
src\services\ai\ContextBuilder.ts,95%,Duplicate of src\path.ts,
src\services\ai\geminiSmartLayer.tsx,95%,Duplicate of src\path.ts,
src\services\ai\index.ts,95%,Duplicate of src\path.ts,
src\services\ai\localAIApiService.tsx,95%,Duplicate of src\path.ts,
src\services\ai\localAIClientApi.tsx,95%,Duplicate of src\path.ts,
src\services\ai\localAILogger.tsx,95%,Duplicate of src\path.ts,
src\services\ai\localAIModelService.tsx,95%,Duplicate of src\path.ts,
src\services\ai\localAIWebEngine.tsx,95%,Duplicate of src\path.ts,
src\services\ai\modelArbitrator.tsx,95%,Duplicate of src\path.ts,
src\services\ai\modelFallbackManager.tsx,95%,Duplicate of src\path.ts,
src\services\ai\modelInfo.ts,95%,Duplicate of src\path.ts,
src\services\ai\modelSelectionService.tsx,95%,Duplicate of src\path.ts,
src\services\ai\modelService.ts,95%,Duplicate of src\path.ts,
src\services\ai\modelTelemetryService.ts,95%,Duplicate of src\path.ts,
src\services\ai\modelTestingService.tsx,95%,Duplicate of src\path.ts,
src\services\ai\modelValidationStore.ts,95%,Duplicate of src\path.ts,
src\services\ai\observability.ts,95%,Duplicate of src\path.ts,
src\services\ai\smartModelSelector.tsx,95%,Duplicate of src\path.ts,
src\services\ai\gemini\CacheManager.tsx,95%,Duplicate of src\path.ts,
src\services\ai\gemini\CircuitBreaker.tsx,95%,Duplicate of src\path.ts,
src\services\ai\gemini\GeminiClient.tsx,95%,Duplicate of src\path.ts,
src\services\ai\gemini\index.ts,95%,Duplicate of src\path.ts,
src\services\ai\gemini\RetryPolicy.tsx,95%,Duplicate of src\path.ts,
src\services\ai\gemini\types.tsx,95%,Duplicate of src\path.ts,
src\services\aiProviders\base.tsx,95%,Duplicate of src\path.ts,
src\services\aiProviders\custom.tsx,95%,Duplicate of src\path.ts,
src\services\aiProviders\factory.ts,95%,Duplicate of src\path.ts,
src\services\aiProviders\index.ts,95%,Duplicate of src\path.ts,
src\services\aiProviders\openai.tsx,95%,Duplicate of src\path.ts,
src\services\aiProviders\storage.ts,95%,Duplicate of src\path.ts,
src\services\aiProviders\types.ts,95%,Duplicate of src\path.ts,
src\services\code\codeCompletionService.tsx,95%,Duplicate of src\path.ts,
src\services\code\filesystemAdapter.tsx,95%,Duplicate of src\path.ts,
src\services\code\index.ts,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\api.tsx,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\changeTracker.tsx,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\hashManager.ts,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\index.ts,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\indexer.tsx,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\nodeCompat.ts,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\analysis\aiAnalyzer.tsx,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\api\restServer.ts,95%,Duplicate of src\path.ts,
src\services\codeIntelligence\vcs\gitIntegration.ts,95%,Duplicate of src\path.ts,
src\services\errorHandling\ErrorManager.ts,95%,Duplicate of src\path.ts,
src\services\errorHandling\ErrorPresentation.ts,95%,Duplicate of src\path.ts,
src\services\errorHandling\index.ts,95%,Duplicate of src\path.ts,
src\services\gemini\apiClient.tsx,95%,Duplicate of src\path.ts,
src\services\gemini\errorHandler.ts,95%,Duplicate of src\path.ts,
src\services\gemini\GeminiAdapter.tsx,95%,Duplicate of src\path.ts,
src\services\gemini\GeminiClient.tsx,95%,Duplicate of src\path.ts,
src\services\gemini\index.tsx,95%,Duplicate of src\path.ts,
src\services\gemini\ModelManager.ts,95%,Duplicate of src\path.ts,
src\services\gemini\RetryPolicy.tsx,95%,Duplicate of src\path.ts,
src\services\gemini\streamProcessor.tsx,95%,Duplicate of src\path.ts,
src\services\gemini\types.ts,95%,Duplicate of src\path.ts,
src\services\gemini\types.tsx,95%,Duplicate of src\path.ts,
src\services\mcp\executorAdapter.ts,95%,Duplicate of src\path.ts,
src\services\mcp\fileOperations.tsx,95%,Duplicate of src\path.ts,
src\services\mcp\index.tsx,95%,Duplicate of src\path.ts,
src\services\monitoring\capabilityMonitor.tsx,95%,Duplicate of src\path.ts,
src\services\monitoring\completionReporter.ts,95%,Duplicate of src\path.ts,
src\services\monitoring\index.ts,95%,Duplicate of src\path.ts,
src\services\monitoring\memoryPressureMonitor.tsx,95%,Duplicate of src\path.ts,
src\services\monitoring\productivityMetrics.tsx,95%,Duplicate of src\path.ts,
src\services\monitoring\streamingMonitor.ts,95%,Duplicate of src\path.ts,
src\services\monitoring\telemetryService.tsx,95%,Duplicate of src\path.ts,
src\services\network\circuitBreaker.ts,95%,Duplicate of src\path.ts,
src\services\network\degradedMode.ts,95%,Duplicate of src\path.ts,
src\services\network\index.ts,95%,Duplicate of src\path.ts,
src\services\network\networkReliabilityService.ts,95%,Duplicate of src\path.ts,
src\services\network\networkReliabilityVerification.ts,95%,Duplicate of src\path.ts,
src\services\network\providerLimit.ts,95%,Duplicate of src\path.ts,
src\services\network\rateLimitService.ts,95%,Duplicate of src\path.ts,
src\services\network\requestCoalescer.tsx,95%,Duplicate of src\path.ts,
src\services\policies\index.ts,95%,Duplicate of src\path.ts,
src\services\security\adversarialDetector.ts,95%,Duplicate of src\path.ts,
src\services\security\agentVerifier.ts,95%,Duplicate of src\path.ts,
src\services\security\aiBehaviorValidation.ts,95%,Duplicate of src\path.ts,
src\services\security\apiKeyMasking.ts,95%,Duplicate of src\path.ts,
src\services\security\auditLogger.ts,95%,Duplicate of src\path.ts,
src\services\security\goalIntegrityGuard.ts,95%,Duplicate of src\path.ts,
src\services\security\index.ts,95%,Duplicate of src\path.ts,
src\services\security\killSwitch.ts,95%,Duplicate of src\path.ts,
src\services\security\policyEngine.ts,95%,Duplicate of src\path.ts,
src\services\security\runtimeGuardrails.ts,95%,Duplicate of src\path.ts,
src\services\security\secureStorage.tsx,95%,Duplicate of src\path.ts,
src\services\security\toolValidator.ts,95%,Duplicate of src\path.ts,
src\services\storage\contextDatabaseBridge.tsx,95%,Duplicate of src\path.ts,
src\services\storage\contextManager.ts,95%,Duplicate of src\path.ts,
src\services\storage\databaseService.tsx,95%,Duplicate of src\path.ts,
src\services\storage\importanceCache.ts,95%,Duplicate of src\path.ts,
src\services\storage\index.ts,95%,Duplicate of src\path.ts,
src\services\storage\responseCache.ts,95%,Duplicate of src\path.ts,
src\stores\appStore.tsx,95%,Duplicate of src\path.ts,
src\stores\codeIntelligenceStore.tsx,95%,Duplicate of src\path.ts,
src\stores\conversationStore.tsx,95%,Duplicate of src\path.ts,
src\stores\index.ts,95%,Duplicate of src\path.ts,
src\stores\projectStore.tsx,95%,Duplicate of src\path.ts,
src\stores\settingsStore.tsx,95%,Duplicate of src\path.ts,
src\stores\themeStore.ts,95%,Duplicate of src\path.ts,
src\testing-library\react.ts,95%,Duplicate of src\path.ts,
src\theme\themeSystem.tsx,95%,Duplicate of src\path.ts,
src\types\additional.tsx,95%,Duplicate of src\path.ts,
src\types\ai.tsx,95%,Duplicate of src\path.ts,
src\types\common.tsx,95%,Duplicate of src\path.ts,
src\types\conversation.ts,95%,Duplicate of src\path.ts,
src\types\core.ts,95%,Duplicate of src\path.ts,
src\types\editor.ts,95%,Duplicate of src\path.ts,
src\types\index.ts,95%,Duplicate of src\path.ts,
src\types\ipc.tsx,95%,Duplicate of src\path.ts,
src\types\preview.ts,95%,Duplicate of src\path.ts,
src\types\types.ts,95%,Duplicate of src\path.ts,
src\types\uiPatterns.ts,95%,Duplicate of src\path.ts,
src\utils\errorHandler.tsx,95%,Duplicate of src\path.ts,
src\utils\errors.ts,95%,Duplicate of src\path.ts,
src\utils\EventBus.tsx,95%,Duplicate of src\path.ts,
src\utils\logger.tsx,95%,Duplicate of src\path.ts,
src\utils\monitoring.tsx,95%,Duplicate of src\path.ts,
src\utils\performanceUtils.tsx,95%,Duplicate of src\path.ts,
src\utils\stateUpdateLogger.tsx,95%,Duplicate of src\path.ts,
src\vitejs\index.ts,95%,Duplicate of src\path.ts,
src\vitejs\plugin-react.ts,95%,Duplicate of src\path.ts,
src\components\conversation\main.py,70%,"Unused, low value, small size",
